lux,distance_cm,pwm_value
40,115,141
40,113,141
14,114,183
14,118,184
60,118,123
60,117,123
14,233,202
14,116,185
14,115,183
14,115,183
45,119,137
45,114,135
14,109,183
14,111,184
11,116,191
11,235,209
66,116,118
66,111,117
72,113,113
72,110,113
124,110,90
124,116,91
451,93,48
451,90,47
489,88,45
489,114,53
489,97,48
489,97,48
630,237,68
630,91,43
707,56,28
707,89,40
908,48,22
908,47,21
675,49,25
675,53,27
216,57,51
216,60,52
254,65,50
254,69,52
424,70,41
424,71,41
517,71,38
517,71,38
115,71,79
115,71,79
51,67,114
51,75,117
39,61,124
39,57,123
124,56,70
124,55,70
124,57,70
434,61,37
434,63,38
239,66,52
239,71,54
224,75,57
224,80,60
99,85,90
99,90,92
162,92,74
162,91,74
214,91,65
214,88,64
40,84,132
40,79,130
40,74,128
40,69,126
99,69,84
99,67,84
200,69,58
200,72,59
64,77,107
64,82,109
24,87,155
24,93,157
23,100,162
23,107,164
8,107,198
8,112,199
9,112,197
9,112,197
20,108,170
20,236,190
16,98,174
16,97,174
53,97,123
53,237,146
232,100,65
232,237,88
75,111,111
75,113,112
10,110,192
10,98,188
77,92,104
77,89,103
268,88,57
268,93,59
34,97,144
34,101,145
11,99,186
11,95,185
15,236,199
15,95,175
75,97,107
75,110,111
38,111,143
38,236,162
10,98,190
10,99,191
13,113,186
13,110,185
6,114,204
6,116,205
4,117,213
4,237,230
7,118,203
7,116,202
9,117,198
9,236,215
12,236,207
6,236,222
6,134,209
30,237,172
30,125,157
10,236,211
10,117,194
2,236,236
2,236,236
2,237,236
2,236,236
5,234,227
24,151,171
24,237,181
3,233,233
3,236,233
21,237,187
21,115,169
2,115,218
2,236,236
89,235,122
89,233,122
34,112,149
86,111,105
86,112,105
9,234,215
9,116,198
10,115,193
10,113,193
75,116,113
75,238,130
145,128,88
145,129,88
34,132,154
34,114,149
2,114,218
2,117,219
34,117,150
34,233,167
2,234,236
2,234,236
8,116,200
8,116,200
1,116,221
1,117,222
14,237,203
14,117,186
1,118,222
1,237,239
67,118,118
8,118,201
8,235,217
9,237,215
9,119,198
5,116,207
5,118,208
5,117,208
5,235,225
29,238,174
29,235,174
91,234,121
91,238,121
178,239,96
85,234,124
85,234,124
68,238,135
68,234,134
114,234,111
114,238,112
77,238,129
77,238,129
18,237,194
59,234,141
59,233,141
24,233,181
24,233,181
35,233,165
35,233,165
5,233,227
6,238,222
6,238,222
22,238,186
22,237,186
25,238,180
25,234,180
12,234,206
12,235,207
19,235,192
18,235,193
18,238,194
15,123,183
15,234,199
5,237,225
5,236,225
2,237,236
2,111,217
1,111,220
1,236,239
1,234,239
0,111,223
0,1194,251
0,109,222
1,109,219
1,109,219
1,110,220
1,109,219
0,108,222
0,109,222
1,109,219
1,109,219
1,109,219
1,110,220
2,110,217
2,108,216
2,108,216
2,108,216
1,110,220
1,109,219
1,109,219
1,111,220
1,109,219
1,107,219
1,97,216
1,234,238
2,237,236
2,238,236
4,119,214
4,84,203
3,82,205
3,84,205
7,237,220
7,237,220
31,237,171
69,234,134
69,234,134
46,234,152
46,234,152
30,82,143
30,81,143
45,80,125
45,88,128
0,95,218
0,96,218
7,237,220
7,239,220
17,237,195
17,238,195
152,237,101
81,239,126
81,94,102
54,86,118
54,79,116
54,238,145
54,80,116
124,93,84
124,234,108
47,95,128
47,98,129
35,100,144
35,236,166
102,106,96
102,107,97
204,109,72
204,110,72
23,110,165
23,111,165
45,110,134
45,111,135
21,109,168
21,108,167
45,108,135
45,109,135
26,111,160
26,111,159
96,112,100
96,110,100
87,109,104
87,109,104
29,109,154
29,109,154
24,110,162
24,111,162
69,85,107
69,110,115
36,109,144
36,108,144
7,112,201
7,108,200
19,110,173
19,114,174
17,233,195
17,112,177
3,233,233
3,108,213
5,107,208
5,106,207
4,100,208
4,99,208
0,97,219
0,99,219
2,99,213
2,101,214
35,117,149
35,233,166
14,233,202
25,116,162
25,99,157
7,97,197
7,101,198
1,89,213
1,237,239
1,85,211
1,237,239
6,91,197
6,237,222
10,93,186
10,234,211
184,99,72
184,96,71
158,99,77
158,237,100
169,103,76
169,108,77
222,106,68
222,110,70
128,109,88
128,112,89
75,116,113
75,116,113
14,115,183
14,115,183
7,238,220
7,234,220
2,233,236
2,234,236
2,234,236
4,127,215
4,234,230
3,239,233
3,237,233
2,237,236
2,237,236
1,237,239
1,239,239
0,235,245
0,238,242
0,238,242
1,237,239
1,237,239
2,237,236
2,239,236
5,238,225
4,236,230
4,126,215
3,238,233
3,237,233
19,237,192
19,235,192
45,234,153
45,237,153
95,233,119
26,238,178
26,234,178
53,234,146
53,237,146
111,237,113
111,237,113
38,238,162
26,238,178
26,133,165
2,233,236
2,118,219
14,117,186
14,117,185
2,118,219
2,236,236
0,236,242
0,236,242
5,236,227
5,237,227
2,236,236
2,236,236
2,237,236
1,237,239
1,119,222
2,117,219
2,234,236
3,237,233
3,236,233
6,236,222
6,236,222
4,117,213
5,235,227
5,234,227
4,237,230
4,118,213
3,235,233
3,116,215
109,236,113
109,233,113
16,115,179
16,114,179
1,111,220
1,234,239
14,95,177
1,91,214
1,86,212
0,83,217
0,83,217
0,105,224
0,79,216
0,81,216
12,236,207
6,82,194
6,83,195
6,84,195
21,92,162
21,98,164
2,93,212
2,118,219
1,100,217
1,83,211
16,108,177
16,234,197
0,235,245
3,108,213
3,105,212
1,103,218
1,236,239
0,234,245
0,237,245
0,238,245
0,102,223
0,234,245
0,234,245
0,102,223
0,234,245
0,105,224
0,102,223
0,238,245
0,102,220
0,237,242
1,237,239
1,86,212
0,88,219
0,87,218
10,88,185
10,81,182
0,237,245
0,238,245
2,237,236
2,237,236
1,237,239
1,237,239
6,118,205
5,116,210
5,235,227
14,234,201
14,119,184
3,234,233
3,234,233
16,237,197
16,98,174
11,233,208
11,100,187
7,234,220
7,117,203
0,100,223
0,237,245
0,103,224
0,100,223
0,101,223
1,105,218
1,112,220
0,111,226
0,109,225
0,102,223
0,99,223
0,100,223
0,238,245
1,112,220
1,117,222
0,110,223
0,108,222
0,100,223
0,100,223
0,100,223
0,236,245
0,101,223
0,237,245
0,107,225
0,89,219
0,100,223
0,105,224
0,106,225
0,106,225
22,106,165
22,82,157
66,96,112
66,94,112
4,89,204
4,82,202
0,75,214
0,236,245
0,69,212
0,80,216
0,83,217
0,100,223
0,134,229
0,101,220
9,117,198
9,117,198
49,115,132
49,103,128
47,105,131
47,107,132
40,107,139
40,81,130
63,80,109
63,114,120
258,107,65
258,108,65
15,108,179
15,108,179
8,108,198
8,107,198
4,106,210
4,104,209
2,82,208
2,108,216
1,109,219
1,109,219
1,108,219
1,106,219
2,106,216
2,107,216
5,109,208
5,110,209
19,109,173
19,110,173
37,234,163
37,108,143
79,107,108
79,110,109
21,110,168
21,110,168
3,108,213
3,108,213
1,99,216
1,99,216
0,103,221
0,107,222
6,236,222
6,112,204
119,112,91
119,110,91
68,111,116
68,109,115
18,109,174
18,107,174
0,234,242
0,237,242
0,237,245
0,80,216
0,91,220
0,234,245
0,107,225
2,111,217
2,100,214
35,100,143
35,234,165
35,104,144
35,98,142
3,91,208
3,83,205
1,62,203
1,53,199
1,56,200
1,56,200
4,63,194
4,72,198
9,234,215
9,86,188
4,89,204
4,84,203
3,81,204
3,80,204
2,82,207
2,83,208
1,81,210
1,80,209
1,73,207
